耀	yao,yue
踱	duo
串	chuan
临	lin
踵	zhong
丶	zhu,dian
踶	di
丸	wan
丹	dan
踹	chuai
为	wei
踺	jian
主	zhu
踼	tang
丼	dan,jing
丽	li
踽	ju
举	ju
丿	pie
蹀	die
蹁	pian
乂	yi,ai
蹂	rou
乃	nai
蹄	ti
久	jiu
蹇	jian
么	ma,yao,me
蹈	dao
义	yi
蹉	cuo
蹊	xi,qi
之	zhi
蹋	ta
乌	wu
乍	zha
乎	hu
乏	fa
乐	yue,le
蹑	nie
乒	ping
蹒	pan
乓	pang
蹓	liu
乔	qiao
乖	guai
乘	cheng,sheng
乙	yi
蹙	cu
蹚	tang
蹛	dai
乜	mie,nie
蹜	su
九	jiu
乞	qi
也	ye
蹟	ji
习	xi
蹠	zhi
乡	xiang
书	shu
蹦	beng
蹩	bie
乩	ji
蹬	deng
蹭	ceng
蹯	fan
买	mai
蹰	chu
乱	luan
蹲	dun,cun
乳	ru
蹴	cu
蹶	jue
乸	na
蹼	pu
乾	qian,gan
蹿	cuan
躁	zao
躄	bi
躅	zhu
了	le,liao
躇	chu
予	yu
争	zheng
事	shi
二	er
亍	chu
于	yu
亏	kui
躏	lin
云	yun
互	hu
亓	qi
五	wu
躔	chan
井	jing
亘	gen
亚	ya
些	xie
躜	zuan
躞	xie
亟	qi,ji
亠	tou
亡	wang,wu
亢	kang
交	jiao
亥	hai
亦	yi
产	chan
亨	heng
亩	mu
身	juan,shen
享	xiang
京	jing
躬	gong
亭	ting
躭	dan
亮	liang
躯	qu
亲	qing,qin
躲	duo
亳	bo
亵	xie
亶	dan
躶	luo
亹	wei
躹	ju
人	ren
躺	tang
亻	ren
亿	yi
什	she,shi,shen
仁	ren
仂	le
仃	ding
仄	ze
仅	jin
仆	pu
仇	chou,qiu
仉	zhang
今	jin
介	jie
仍	reng
从	cong
軎	wei
仑	lun
仓	cang
仔	zai,zi
仕	shi
他	ta
仗	zhang
付	fu
仙	xian
仚	xian
軚	dai
仝	tong
仞	ren
仟	qian
仡	yi,ge
転	zhuai,zhuan
代	dai
令	ling
以	yi
仨	sa
仪	yi
仫	mu
们	men
仰	yang
仲	zhong
仳	pi
仵	wu
件	jian
价	jia,jie
任	ren
份	fen
軽	qing
仿	fang
企	qi
伉	kang
伊	yi
輌	liang
伍	wu
伎	ji
伏	fu
伐	fa
休	xiu
伕	fu
众	zhong
优	you
伙	huo
会	kuai,hui
伛	yu
伝	yun
伞	san
伟	wei
传	chuan,zhuan
伢	ya
伤	shang
伥	tang,chang
伦	lun
伧	chen,cang
伪	wei
伫	zhu
輭	ruan
伯	bai,bo,ba
估	gu
伲	ni
伴	ban
輵	ge
伶	ling
輶	you
伸	shen
伺	si,ci
似	shi,si
伽	jia,qia,ga,qie
佃	tian,dian
但	dan
位	wei
低	di
住	zhu
佐	zuo
佑	you
体	ti,ben
轓	fan
何	he
轕	ge
佗	tuo
佘	she
轘	huan
余	tu,yu
佚	yi,die
佛	fo,fu
作	zuo
佝	gou
轝	yu
佞	ning
佟	tong
你	ni
佢	ju
佣	yong
佤	wa
佥	qian
车	che,ju
轧	zha,ya,ga
佧	ka
轨	gui
佩	pei
轩	xuan
轪	dai
轫	ren
转	zhuai,zhuan
佬	lao
轭	e
轮	lun
软	ruan
佯	yang
轰	hong
佰	bai
轱	gu
轲	ke
佳	jia
轳	lu
轴	zhou
佴	nai,er
轵	zhi
轶	yi
佶	ji
轸	zhen
轹	li
佺	quan
轺	yao
轻	qing
佻	tiao
轼	shi
佼	jia,jiao
载	zai
佾	yi
轾	zhi
轿	jiao
使	shi
辀	zhou
辂	lu
侃	kan
较	jiao
侄	zhi
辄	zhe
辅	fu
辆	liang
辇	nian
侈	chi
辈	bei
辉	hui
侉	kua
辊	gun
例	li
辋	wang
辌	liang
侍	shi
辍	chuo
辎	zi
侏	zhu
辏	cou
辐	fu
辑	ji
侑	you
辒	wen
输	shu
辔	pei
侔	mou
辕	yuan
辖	xia
侗	tong,dong
辗	zhan
辘	lu
辙	zhe
辛	xin
供	gong
辜	gu
依	yi
辞	ci
辟	bi,pi
侠	xia
辣	la
侣	lu:
侥	jia,yao,jiao
侦	zhen
侧	ce,ze,zhai
辧	bian
侨	qiao
辨	bian
辩	bian
侩	kuai
侪	chai
辫	bian
侬	nong
侮	wu
侯	hou
辰	chen
辱	ru
侵	qin
辵	chuo
辶	chuo
边	bian
辺	bian
辽	liao
达	da
便	pian,bian
辿	chan
迁	qian
迂	yu
促	cu
俄	e
迄	qi
迅	xun
俅	qiu
迆	yi
过	guo
迈	mai
俊	jun,zun,juan
俋	yi
迎	ying
俎	zu
俏	qiao
运	yun
俐	li
近	jin
俑	yong
迓	ya
返	fan
迕	wu
俗	su
还	hai,huan
俘	fu
这	zhe,zhei
俚	li
进	jin
远	yuan
保	bao
违	wei
连	lian
俞	shu,yu
迟	chi
俟	si,qi
信	shen,xin
迢	tiao
俣	yu
迤	yi
迥	jiong
迦	jia
俦	chou
俨	yan
迨	dai
俩	lia,liang
迩	er
迪	di
俪	li
迫	pai,po
俬	si
迭	die
俭	jian
修	xiu
迮	ze
俯	fu
述	shu
俱	ju
迳	jing
俳	pai
迵	tong
俶	chu,ti
迷	mi
迸	beng
俸	feng
迹	ji
俺	an
迺	nai
追	zhui
俾	bi,bei
退	tui
送	song
适	kuo,shi
逃	tao
逄	pang
逅	hou
逆	ni
逈	jiong
选	xuan
逊	xun
